x,y,name,production
-19.9180883603179,32.124897912874985,Klusi,3.64
-19.918088336766274,32.12489785401219,Erlenbach,52.8
-19.918087664211296,32.124898212221346,Simmenfluh,45.5
-19.918088071078575,32.12489892437274,AAREwerk 62 Thun,32.04
-19.918088003155454,32.12489894529216,AAREwerk 94 Thun,8.4
-19.918088057945763,32.12489892757017,Thun (Eidg.),2.0
-19.918088929168068,32.12489833839989,Blumenstein,3.4
-19.91809026131806,32.12489998890347,Matte,6.8
-19.9180904483691,32.12490011336268,Engehalde-Dotierzentrale,2.6
-19.91809050908121,32.124900119168636,Felsenau,73.0
-19.918092027546447,32.12489965587232,Mühleberg,159.8
-19.918089981854237,32.124894700696174,Innergsteig,36.24
-19.918089757222013,32.12489522019655,Lauenen (Louibach),3.2
-19.918090105014414,32.124894745566614,Gsteig,2.55
-19.918091430079272,32.12489516557965,Gérignoz (La Pontia),2.35
-19.91809262617002,32.124894933815725,Montbovon,79.0
-19.91809264213632,32.12489509950886,Lessoc,22.0
-19.918092405813635,32.12489544680821,Sainte - Anne,6.5
-19.918090892406934,32.12489660693425,Jaun,2.32
-19.91809180869685,32.124896354776816,Charmey (La Tzintre),3.5
-19.918091966797906,32.12489633179958,Charmey (Le Perré),18.9
-19.918092463193155,32.12489613359789,Broc,70.0
-19.918092817042794,32.12489704276508,Rossens-Centrale de dotation 1,1.63
-19.918092817042794,32.12489704276508,Rossens-Centr. de dotation 2,11.0
-19.91809285056837,32.12489751366956,Hauterive,205.0
-19.918092581412257,32.124897877771815,Maigrauge-Centrale de dotation,4.0
-19.918092578035903,32.124897906836374,Oelberg,50.0
-19.9180926033453,32.124898662867544,Schiffenen,139.0
-19.918092572885428,32.12489980788993,Niederried,81.2
-19.91809239500273,32.124900189912935,Aarberg,84.43
-19.918092764898162,32.12489992125398,Kallnach,49.25
-19.9180933879794,32.12490010231228,"Hagneck 1 (M3,M4,M5) Dotieran.",11.0
-19.918093391473356,32.124900086794234,Hagneck 2 (M 1 u. M 2),99.0
-19.918100221851624,32.124894602098564,La Dernier,31.0
-19.91809984039651,32.124894919351796,La Jougnenaz,6.0
-19.918099395036574,32.124895131658576,Les Clées,103.0
-19.918098710869746,32.12489530642724,Montcherand,57.0
-19.918098627041136,32.12489533727903,Le Chalet,9.3
-19.918098504595232,32.124895311472116,Moulinets sur l'Orbe,4.2
-19.91809893337181,32.124896966842094,St.Sulpice,9.0
-19.918097135462983,32.124897921998404,Les Moyats,7.6
-19.91809677925892,32.124898120919006,Combe-Garot,22.6
-19.918096450465175,32.12489819382021,Usine du Chanet,24.3
-19.91809628345277,32.12489816648269,Boudry (les Essert),1.65
-19.918095788395288,32.12489861092839,"La Serrière, Neuchâtel",4.4
-19.918093795720008,32.12490118725369,Sous les Roches,1.8
-19.918093085978093,32.12490123171479,Rondchâtel,14.6
-19.91809303758729,32.12490122131071,Frinvillier,1.55
-19.918092932740606,32.12490118179355,Taubenloch,2.0
-19.91809286273991,32.124901145012856,Bözingen,12.3
-19.91809281959165,32.12490082495957,Brügg,21.32
-19.91808784723578,32.12490121530886,Wannenfluh,1.8
-19.91808815846889,32.12490117052839,"Gohlhaus, Lützelflüh",2.2
-19.918090111814664,32.124901680057604,Hagerhüsli,2.5
-19.918090070635554,32.124901806370104,Bätterkinden,2.2
-19.9180900968049,32.1249019195248,Utzenstorf,1.8
-19.91809014504705,32.12490199873915,Moosbrunnen 1 (Gerlafingen 1),2.6
-19.91809000547562,32.124902302897304,Biberist (Papierfabrik),2.7
-19.91808991248346,32.124902438377546,Emmenhof,1.7
-19.918089981682673,32.124902508590594,"Luterbach I, untere Emmengasse",5.2
-19.9180900596219,32.124902575259746,Luterbach II,1.49
-19.918089963732,32.12490274553141,Flumenthal,147.0
-19.918088571819364,32.12490317880956,Bannwil,149.26
-19.918088132669695,32.12490356261439,Wynau,51.0
-19.918088149697557,32.12490356840622,Schwarzhäusern,41.0
-19.918087444117834,32.12490430958852,Ruppoldingen,115.0
-19.9180872193627,32.12490444350575,Aarburg,2.69
-19.918087368517977,32.12490467566524,"Dünnern, Olten",1.6
-19.918086651785597,32.12490509346743,Gösgen,303.0
-19.918086189950895,32.12490547546375,Aarau Stadt,101.62
-19.918086070966325,32.12490555908828,Rüchlig,54.0
-19.91808604542104,32.12490556093935,Rüchlig-Dotierzentrale,8.1
-19.91808547849218,32.1249058560678,Rupperswil-Auenstein,220.6
-19.918085479364446,32.12490584395572,Rupperswil-Dotierzentrale,10.0
-19.918084832439433,32.1249059371383,Niederlenz,1.5
-19.91808514753679,32.124906332257936,Wildegg-Brugg-Dotierzentrale,3.5
-19.91808514226226,32.12490649799672,Wildegg-Brugg,289.5
-19.91808487433185,32.1249073465314,Beznau-Wehrkraftwerk,35.5
-19.918084800690323,32.12490744242969,Beznau,119.9
-19.918085043233667,32.124907714078304,Klingnau,230.0
-19.918078217790416,32.124900643245674,Hospental,6.9
-19.918078795403474,32.12490026443511,Realp,4.0
-19.918078820019556,32.12490015052525,Realp II,9.5
-19.918077892592738,32.12490086074335,Oberalp,11.0
-19.918078225131293,32.12490108220343,Göschenen (Göscheneralp),282.0
-19.918078225131293,32.12490108220343,Göschenen (Andermatt),144.0
-19.918078233054064,32.12490108405353,Göschenen (Unterdorf),5.8
-19.918078153821387,32.124901559074694,Wassen  (Pfaffensprung),290.0
-19.918078143325875,32.12490155799413,Amsteg-Dotierzentrale,3.3
-19.91807810462907,32.12490167014634,Gurtnellen,38.8
-19.918078098619233,32.12490169476221,Stäubenwald,1.0
-19.918077901413007,32.12490186839426,"Fellitobel, Gurtnellen",4.7
-19.918077347984024,32.12490228855009,"Schattigmatt, Bristen",14.0
-19.918077721586382,32.12490217517264,Amsteg,443.5
-19.91807778390161,32.124902234262755,Amsteg-Regulierzentrale,6.55
-19.918078217090915,32.124902505545506,Erstfeldertal (Spätach),32.0
-19.9180777982222,32.12490217252549,Arniberg,47.22
-19.91807838465635,32.124902669573714,Bocki 2,25.5
-19.91807838465635,32.124902669573714,Bocki 1,8.2
-19.918076727921427,32.12490341114543,Äsch,1.9
-19.918077178319756,32.124903253199776,Unterschächen,8.15
-19.918078414124675,32.1249028786697,"Schächen, Schattdorf",16.4
-19.91807820567148,32.12490306028387,Bürglen (Unterschächen),91.7
-19.91807820567148,32.12490306028387,Bürglen (Loreto),7.7
-19.918078448032052,32.12490308237819,"Bannwald (Altdorf, WVA)",0.99
-19.918079314257074,32.124903033169275,Kleintal (Isenthal),4.8
-19.918078970975117,32.124903037250746,"Seedorf, TW Chuchib. Q Bolzb.",1.2
-19.918078970975117,32.124903037250746,Isenthal (Bolzbach),45.0
-19.91807656978071,32.12490395396361,Sahli (Ruosalp),19.3
-19.91807656978071,32.12490395396361,Sahli (Glattalp),16.3
-19.918076844237294,32.124904142468274,Bisisthal,54.7
-19.918077376234205,32.124904207716085,Hinterthal (Muota),41.2
-19.918077376234205,32.124904207716085,Hinterthal (Hüribach),18.4
-19.91807875026083,32.124904020197526,Wernisberg,75.9
